ID,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N,Warehouse_block_B,Warehouse_block_C,Warehouse_block_D,Warehouse_block_F,Mode_of_Shipment_Road,Mode_of_Shipment_Ship,Cost_per_gram,Discount_rate,Calls_per_Purchase
4,-0.9621406996429737,0.004527235129950843,-0.7814132684329331,0.724173525251417,2,1,1.131257587250993,-1.7166205466690527,1,True,False,False,False,False,False,1.2069209183354757,1.3161465760259297,-1.3347602127538183
6,-0.9621406996429737,-1.4106332049029469,-1.0716992309342388,-0.28463234153974754,2,0,1.6950473976785072,-1.5684068697175146,1,False,False,False,True,False,False,0.6278149603838028,2.158500110049899,-0.829190685445088
7,-0.9621406996429737,0.7121074551463997,0.7529553905025399,-0.28463234153974754,1,0,-0.8420067492453074,-0.9792575038351512,1,False,False,True,False,False,False,0.48166284008269106,-0.8716715491239353,-0.829190685445088
9,-0.9621406996429737,0.7121074551463997,-1.3205157702210724,-0.28463234153974754,1,0,1.41315249246475,-1.2942115673571695,1,False,False,False,False,False,False,0.07309355132014612,2.1223405437113096,-0.829190685445088
11,-0.9621406996429737,0.7121074551463997,-0.5118620175388635,-1.2934382083309122,2,1,1.6950473976785072,-0.6599805414020464,1,False,True,False,False,False,False,-0.17624680542990154,1.6419348766414719,0.013425193402795408
13,-0.9621406996429737,1.4196876751628487,-0.3252496130737384,-0.28463234153974754,2,0,-1.4057965596728217,-0.1789036482968461,1,False,False,True,False,False,False,-0.3645541842887919,-1.2109140260459788,-0.829190685445088
17,-0.9621406996429737,0.7121074551463997,-1.4656587514717252,-1.2934382083309122,2,0,0.00367796639596411,-1.7061220778849855,1,False,True,False,False,False,False,0.7172872057777716,0.5907426883767704,0.013425193402795408
19,0.7362810735502818,1.4196876751628487,0.5248735628229426,-0.28463234153974754,0,1,3.38641682896105,-0.9026804374101899,1,False,False,True,False,False,True,0.32294616371088974,2.2190182127086273,0.8560410722506788
23,-1.8113515862396012,1.4196876751628487,-1.1961075005776556,-1.2934382083309122,1,1,-1.1239016544590645,-1.3627603929472558,1,False,True,False,False,False,True,0.21358288328143474,-0.8316178756411896,-1.1100626450610493
24,-0.1129298130463459,0.004527235129950843,-0.05569836217966881,-0.28463234153974754,0,1,1.6950473976785072,-0.02142661653583699,1,False,False,False,True,False,True,-0.367778292933955,1.3187755837034985,0.013425193402795408
34,-0.1129298130463459,-0.703052984886498,0.421200004786762,-0.28463234153974754,2,1,-0.5601118440315502,-0.42963178513986455,1,True,False,False,False,False,True,-0.07239072692149062,-0.6230049929185554,0.013425193402795408
41,0.7362810735502818,-1.4106332049029469,0.2760570235361091,-1.2934382083309122,1,1,2.5407321133197787,-0.09800368296079828,1,False,True,False,False,False,True,-0.2695920914228075,1.76823166278318,2.2604008703304848
46,0.7362810735502818,-1.4106332049029469,-0.07643307378690493,-0.28463234153974754,1,0,0.8493626820372356,-0.6253973501133543,1,True,False,False,False,False,True,-0.07939144920017462,0.6346326714950388,0.8560410722506788
49,0.7362810735502818,0.7121074551463997,-0.49112730593162734,-1.2934382083309122,2,1,0.8493626820372356,-0.12579374738921165,1,False,False,True,False,False,True,-0.4199688240501632,0.8548525867902105,2.2604008703304848
55,-0.1129298130463459,0.004527235129950843,-0.22157605503755778,-0.28463234153974754,0,1,1.6950473976785072,-0.2579509426709997,1,False,False,True,False,False,True,-0.30919186115067443,1.4281837455759157,0.013425193402795408
60,-0.1129298130463459,-1.4106332049029469,-1.3205157702210724,-0.28463234153974754,0,0,3.104521923747293,-1.2559230341446888,1,False,False,False,True,False,True,0.030348053162990104,4.074957125995164,0.013425193402795408
67,-0.9621406996429737,-0.703052984886498,-2.1706389461177533,-0.28463234153974754,2,0,2.5407321133197787,-1.3874626724391788,1,False,False,True,False,False,True,-0.2042182993805824,5.260261075791329,-0.829190685445088
68,-0.9621406996429737,0.004527235129950843,-1.1546380773631832,-0.28463234153974754,1,0,0.00367796639596411,-1.2837130985731022,1,False,False,False,True,False,True,0.13116142138860923,0.3962933960806441,-0.829190685445088
